date,perShare,shares,amount
2001-09-21,0.369,517,190.77
2001-12-21,0.393,517,203.18
2002-03-15,0.331,517,171.13
2002-06-21,0.353,517,182.5
2002-09-20,0.378,746,281.99
2002-12-20,0.436,746,325.26
2003-03-21,0.354,746,264.08
2003-06-20,0.36,746,268.56
2003-09-19,0.4,746,298.4
2003-12-19,0.516,746,384.94
2004-03-19,0.395,746,294.67
2004-06-18,0.414,746,308.84
2004-09-17,0.469,746,349.87
2004-11-15,0.351,746,261.85
2004-12-17,0.568,746,423.73
2005-03-18,0.467,746,348.38
2005-06-17,0.488,746,364.05
2005-09-16,0.522,746,389.41
2005-12-16,0.672,746,501.31
2006-03-17,0.519,746,387.17
2006-06-16,0.555,746,414.03
2006-09-15,0.579,746,431.93
2006-12-15,0.793,746,591.58
2007-03-16,0.551,746,411.05
2007-06-15,0.656,746,489.38
2007-09-21,0.719,746,536.37
2007-12-21,0.775,746,578.15
2008-03-20,0.642,817,524.51
2008-06-20,0.669,817,546.57
2008-09-19,0.691,896,619.14
2008-12-19,0.719,1011,726.91
2009-03-20,0.561,1011,567.17
2009-06-19,0.518,1011,523.7
2009-09-18,0.508,1011,513.59
2009-12-18,0.59,1011,596.49
2010-03-19,0.48,1011,485.28
2010-06-18,0.531,1011,536.84
2010-09-17,0.602,1011,608.62
2010-12-17,0.653,1011,660.18
2011-03-18,0.553,1011,559.08
2011-06-17,0.628,1011,634.91
2011-09-16,0.625,1011,631.88
2011-12-16,0.77,1011,778.47
2012-03-16,0.614,1011,620.75
2012-06-15,0.688,1011,695.57
2012-09-21,0.779,1011,787.57
2012-12-21,1.022,1011,1033.24
2013-03-15,0.694,1011,701.63
2013-06-21,0.839,1011,848.23
2013-09-20,0.838,1011,847.22
2013-12-20,0.98,1011,990.78
2014-03-21,0.825,1011,834.08
2014-06-20,0.937,1011,947.31
2014-09-19,0.939,1011,949.33
2014-12-19,1.135,1011,1147.48
2015-03-20,0.931,1011,941.24
2015-06-19,1.03,1011,1041.33
2015-09-18,1.033,1062,1097.05
2015-12-18,1.212,1062,1287.14
2016-03-18,1.05,1062,1115.1
2016-06-17,1.078,1062,1144.84
2016-09-16,1.082,1062,1149.08
2016-12-16,1.329,1062,1411.4
2017-03-17,1.033,1062,1097.05
2017-06-16,1.183,1062,1256.35
2017-09-15,1.235,1062,1311.57
2017-12-15,1.351,1062,1434.76
2018-03-16,1.097,1100,1206.7
2018-06-15,1.246,1100,1370.6
2018-09-21,1.323,1100,1455.3
2018-12-21,1.435,1137,1631.6
2019-03-15,1.233,1173,1446.31
2019-06-21,1.432,1173,1679.74
2019-09-20,1.384,1173,1623.43
2019-12-20,1.57,1173,1841.61
2020-03-20,1.406,1196,1681.58
2020-06-19,1.366,1203,1643.3
2020-09-18,1.339,1203,1610.82
2020-12-18,1.58,1203,1900.74
2021-03-19,1.278,1203,1537.43
2021-06-18,1.376,1203,1655.33
2021-09-17,1.428,1203,1717.88
2021-12-17,1.633,1203,1964.5
2022-03-18,1.366,1226,1674.72
2022-06-17,1.577,1236,1949.17
2022-09-16,1.596,1236,1972.66
2022-12-16,1.781,1236,2201.32
2023-03-17,1.506,1236,1861.42
2023-06-16,1.638,1236,2024.57
2023-09-15,1.583,1236,1956.59
2023-12-15,1.906,1236,2355.82
2024-03-15,1.595,1236,1971.42
2024-06-21,1.759,1236,2174.12
2024-09-20,1.746,1236,2158.06
2024-12-20,1.966,1236,2429.98
2025-03-21,1.696,1253,2125.09
2025-06-20,1.761,1253,2206.53
2025-09-19,1.831,1253,2294.24
2025-12-19,1.993,1253,2497.23
2026-03-20,1.797,1253,2251.64
2026-06-18,1.904,1253,2385.71
