date,equity,cash,shares,close,drawdownPct
2001-08-27,100000,100000,0,118.30999755859375,0
2001-08-28,99277.61,50080.85,422,116.58000183105469,0.72
2001-08-29,98838.73,50080.85,422,115.54000091552734,1.16
2001-08-30,97901.89,50080.85,422,113.31999969482422,2.1
2001-08-31,98252.15,50080.85,422,114.1500015258789,1.75
2001-09-04,97944.09,50080.85,422,113.41999816894531,2.06
2001-09-05,98062.25,50080.85,422,113.69999694824219,1.94
2001-09-06,96825.79,50080.85,422,110.7699966430664,3.17
2001-09-07,95960.69,50080.85,422,108.72000122070312,4.04
2001-09-10,96521.95,50080.85,422,110.05000305175781,3.48
2001-09-17,94095.45,50080.85,422,104.30000305175781,5.9
2001-09-18,93962.36,40168.51,517,104.05000305175781,6.04
2001-09-19,92876.66,40168.51,517,101.94999694824219,7.12
2001-09-20,91201.58,40168.51,517,98.70999908447266,8.8
2001-09-21,90653.04,40359.28,517,97.27999877929688,9.35
2001-09-24,92421.18,40359.28,517,100.69999694824219,7.58
2001-09-25,92964.03,40359.28,517,101.75,7.04
2001-09-26,92777.91,40359.28,517,101.38999938964844,7.22
2001-09-27,93232.87,40359.28,517,102.2699966430664,6.77
2001-09-28,94354.76,40359.28,517,104.44000244140625,5.65
2001-10-01,94266.87,40359.28,517,104.2699966430664,5.73
2001-10-02,94944.14,40359.28,517,105.58000183105469,5.06
2001-10-03,95859.23,40359.28,517,107.3499984741211,4.14
2001-10-04,95905.76,40359.28,517,107.44000244140625,4.09
2001-10-05,95797.19,40359.28,517,107.2300033569336,4.2
2001-10-08,95435.29,40359.28,517,106.52999877929688,4.56
2001-10-09,95140.6,40359.28,517,105.95999908447266,4.86
2001-10-10,96360.72,40359.28,517,108.31999969482422,3.64
2001-10-11,97229.28,40359.28,517,110,2.77
2001-10-12,96970.78,40359.28,517,109.5,3.03
2001-10-15,96867.38,40359.28,517,109.30000305175781,3.13
2001-10-16,97224.11,40359.28,517,109.98999786376953,2.78
2001-10-17,96014.33,40359.28,517,107.6500015258789,3.99
2001-10-18,95895.42,40359.28,517,107.41999816894531,4.1
2001-10-19,95859.23,40359.28,517,107.3499984741211,4.14
2001-10-22,96955.27,40359.28,517,109.47000122070312,3.04
2001-10-23,96665.75,40359.28,517,108.91000366210938,3.33
2001-10-24,96515.82,40359.28,517,108.62000274658203,3.48
2001-10-25,97523.97,40359.28,517,110.56999969482422,2.48
2001-10-26,97394.72,40359.28,517,110.31999969482422,2.61
2001-10-29,95910.93,40359.28,517,107.44999694824219,4.09
2001-10-30,95244,40359.28,517,106.16000366210938,4.76
2001-10-31,95057.88,40359.28,517,105.80000305175781,4.94
2001-11-01,96458.95,40359.28,517,108.51000213623047,3.54
2001-11-02,96841.53,40359.28,517,109.25,3.16
2001-11-05,97580.84,40359.28,517,110.68000030517578,2.42
2001-11-06,98470.08,40359.28,517,112.4000015258789,1.53
2001-11-07,98392.53,40359.28,517,112.25,1.61
2001-11-08,98573.48,40359.28,517,112.5999984741211,1.43
2001-11-09,98635.52,40359.28,517,112.72000122070312,1.36
2001-11-12,98278.79,40359.28,517,112.02999877929688,1.72
2001-11-13,99581.63,40359.28,517,114.55000305175781,0.42
2001-11-14,99638.5,40359.28,517,114.66000366210938,0.36
2001-11-15,99747.07,40359.28,517,114.87000274658203,0.25
2001-11-16,99483.4,40359.28,517,114.36000061035156,0.52
2001-11-19,100212.37,40359.28,517,115.7699966430664,0
2001-11-20,99710.88,40359.28,517,114.80000305175781,0.5
2001-11-21,99317.96,40359.28,517,114.04000091552734,0.89
2001-11-23,100165.84,40359.28,517,115.68000030517578,0.05
2001-11-26,100295.09,40359.28,517,115.93000030517578,0
2001-11-27,100036.59,40359.28,517,115.43000030517578,0.26
2001-11-28,98956.06,40359.28,517,113.33999633789062,1.34
2001-11-29,99747.07,40359.28,517,114.87000274658203,0.55
