tradeIndex,time,equity,drawdownPct,tradeId
1,2026-06-01T09:30:00.000,99618.28,0.38,T0001
2,2026-06-01T11:30:00.000,99304.51,0.7,T0002
3,2026-06-01T15:45:00.000,99651.37,0.35,T0003
4,2026-06-02T10:45:00.000,99082.42,0.92,T0004
5,2026-06-02T13:25:00.000,98873.37,1.13,T0005
6,2026-06-02T15:10:00.000,98796.66,1.2,T0006
7,2026-06-03T09:30:00.000,98564.47,1.44,T0007
8,2026-06-03T09:45:00.000,99618.96,0.38,T0008
9,2026-06-03T15:10:00.000,99466.17,0.53,T0009
10,2026-06-04T09:30:00.000,100529.56,0,T0010
11,2026-06-04T14:00:00.000,101602.08,0,T0011
12,2026-06-05T09:55:00.000,102689.35,0,T0012
13,2026-06-08T09:55:00.000,102015.66,0.66,T0013
14,2026-06-08T15:20:00.000,103107.92,0,T0014
15,2026-06-09T10:10:00.000,102051.62,1.02,T0015
16,2026-06-09T10:45:00.000,103145.19,0,T0016
17,2026-06-09T14:30:00.000,104252.02,0,T0017
18,2026-06-10T11:15:00.000,105370.18,0,T0018
19,2026-06-11T10:10:00.000,104968.46,0.38,T0019
20,2026-06-11T11:40:00.000,103897.02,1.4,T0020
21,2026-06-11T12:50:00.000,103213.36,2.05,T0021
22,2026-06-11T13:25:00.000,102531.89,2.69,T0022
23,2026-06-11T13:40:00.000,103629.43,1.65,T0023
24,2026-06-12T12:10:00.000,103233.92,2.03,T0024
25,2026-06-12T14:10:00.000,103023.15,2.23,T0025
26,2026-06-12T14:35:00.000,102834.57,2.41,T0026
27,2026-06-12T15:30:00.000,102533.56,2.69,T0027
28,2026-06-15T09:30:00.000,102142.53,3.06,T0028
29,2026-06-15T11:45:00.000,103232.8,2.03,T0029
30,2026-06-16T13:35:00.000,104336.63,0.98,T0030
31,2026-06-17T10:30:00.000,103939.56,1.36,T0031
32,2026-06-17T11:55:00.000,103350.49,1.92,T0032
33,2026-06-17T12:45:00.000,103192.79,2.07,T0033
34,2026-06-17T14:00:00.000,104296.62,1.02,T0034
35,2026-06-18T11:40:00.000,103839.58,1.45,T0035
36,2026-06-18T11:55:00.000,103444.48,1.83,T0036
37,2026-06-18T14:15:00.000,103264.06,2,T0037
38,2026-06-18T15:40:00.000,102898.08,2.35,T0038
39,2026-06-22T10:30:00.000,101845.55,3.34,T0039
40,2026-06-22T14:10:00.000,101727.45,3.46,T0040
41,2026-06-22T14:50:00.000,101497.67,3.68,T0041
42,2026-06-23T09:30:00.000,102585.8,2.64,T0042
43,2026-06-23T13:50:00.000,102265.94,2.95,T0043
44,2026-06-24T09:35:00.000,101810.37,3.38,T0044
45,2026-06-24T09:40:00.000,101423.39,3.75,T0045
46,2026-06-24T13:20:00.000,102510.45,2.71,T0046
47,2026-06-25T09:40:00.000,102119.42,3.09,T0047
48,2026-06-25T10:00:00.000,101730.53,3.45,T0048
49,2026-06-25T10:15:00.000,101059.58,4.09,T0049
50,2026-06-25T12:05:00.000,100785.56,4.35,T0050
51,2026-06-25T12:30:00.000,100120.35,4.98,T0051
52,2026-06-25T14:15:00.000,99096.84,5.95,T0052
53,2026-06-25T14:45:00.000,98444.29,6.57,T0053
54,2026-06-26T09:30:00.000,99496.59,5.57,T0054
55,2026-06-26T10:40:00.000,99118.17,5.93,T0055
56,2026-06-26T15:55:00.000,100178.39,4.93,T0056
57,2026-06-29T09:35:00.000,99797.27,5.29,T0057
58,2026-07-01T09:50:00.000,99417.61,5.65,T0058
59,2026-07-01T13:00:00.000,99392.71,5.67,T0059
60,2026-07-02T09:35:00.000,98378.37,6.64,T0060
61,2026-07-02T10:40:00.000,97372.01,7.59,T0061
62,2026-07-02T12:00:00.000,98414.41,6.6,T0062
63,2026-07-02T15:05:00.000,98039.89,6.96,T0063
64,2026-07-02T15:35:00.000,97786.11,7.2,T0064
65,2026-07-06T09:30:00.000,98832.39,6.2,T0065
66,2026-07-06T14:10:00.000,98607.7,6.42,T0066
67,2026-07-07T09:30:00.000,97959.44,7.03,T0067
