tradeId,symbol,side,entryTime,exitTime,initialEntryPrice,scale1Price,scale2Price,avgEntryPrice,exitPrice,initialQty,scale1Qty,scale2Qty,finalQty,stopPrice,targetPrice,exitReason,grossPnl,commission,slippage,netPnl,equityAfter,mfePct,maePct
T0001,SPY,long,2026-05-29T15:40:00.000,2026-06-01T09:30:00.000,757.54,,,757.54,755.72,210,0,0,210,755.79,760.79,stop,-349.95,0,31.78,-381.72,99618.28,0.01,0.38
T0002,SPY,short,2026-06-01T09:35:00.000,2026-06-01T11:30:00.000,755.61,,,755.61,757.12,209,0,0,209,757.35,752.36,trend_reversal,-282.14,0,31.62,-313.76,99304.51,0.04,0.22
T0003,SPY,long,2026-06-01T11:35:00.000,2026-06-01T15:45:00.000,757.13,757.96,758.79,757.75,758.58,208,104,104,416,755.38,760.38,trend_reversal,409.93,0,63.08,346.85,99651.37,0.33,0.17
T0004,SPY,short,2026-06-01T15:50:00.000,2026-06-02T10:45:00.000,758.59,757.76,756.93,757.97,759.34,208,104,104,416,760.34,755.33,trend_reversal,-505.83,0,63.12,-568.95,99082.42,0.23,0.18
T0005,SPY,long,2026-06-02T10:50:00.000,2026-06-02T13:25:00.000,759.35,760.18,,759.62,758.95,207,103,0,310,757.6,762.61,trend_reversal,-161.97,0,47.08,-209.05,98873.37,0.1,0.09
T0006,SPY,short,2026-06-02T13:30:00.000,2026-06-02T15:10:00.000,758.94,,,758.94,759.31,207,0,0,207,760.68,755.67,trend_reversal,-45.28,0,31.43,-76.71,98796.66,0.04,0.07
T0007,SPY,long,2026-06-02T15:15:00.000,2026-06-03T09:30:00.000,759.32,,,759.32,758.19,207,0,0,207,757.57,762.58,trend_reversal,-200.78,0,31.41,-232.2,98564.47,0.05,0.17
T0008,SPY,short,2026-06-03T09:35:00.000,2026-06-03T09:45:00.000,758.16,757.33,756.5,757.54,754.98,206,103,103,412,759.91,754.9,target,1116.81,0,62.32,1054.5,99618.96,0.36,0.01
T0009,SPY,long,2026-06-03T13:55:00.000,2026-06-03T15:10:00.000,755.7,,,755.7,754.96,209,0,0,209,753.96,758.94,trend_reversal,-121.22,0,31.57,-152.8,99466.17,0.05,0.13
T0010,SPY,short,2026-06-03T15:15:00.000,2026-06-04T09:30:00.000,754.95,754.12,753.29,754.33,751.78,209,104,104,417,756.69,751.7,target,1126.2,0,62.8,1063.39,100529.56,0.42,0.07
T0011,SPY,long,2026-06-04T11:05:00.000,2026-06-04T14:00:00.000,754.59,755.42,756.25,755.21,757.75,211,105,105,421,752.85,757.83,target,1136.22,0,63.7,1072.52,101602.08,0.35,0.02
T0012,SPY,short,2026-06-05T09:35:00.000,2026-06-05T09:55:00.000,752.5,751.68,750.85,751.88,749.34,214,107,107,428,754.24,749.27,target,1151.52,0,64.25,1087.27,102689.35,0.43,0.01
T0013,SPY,long,2026-06-08T09:45:00.000,2026-06-08T09:55:00.000,742.8,743.62,,743.08,741.02,219,109,0,328,741.1,746,stop,-625.01,0,48.68,-673.69,102015.66,0.12,0.31
T0014,SPY,short,2026-06-08T12:30:00.000,2026-06-08T15:20:00.000,742.09,741.27,740.45,741.47,738.97,218,109,109,436,743.79,738.89,target,1156.8,0,64.55,1092.26,103107.92,0.41,0.13
T0015,SPY,long,2026-06-09T09:40:00.000,2026-06-09T10:10:00.000,744.5,745.32,746.14,745.12,742.72,220,110,110,440,742.79,747.71,stop,-990.84,0,65.46,-1056.3,102051.62,0.28,0.49
