tradeIndex,time,equity,drawdownPct,tradeId
1,2026-06-01T09:30:00.000,99618.28,0.38,T0001
2,2026-06-01T15:45:00.000,99966.59,0.03,T0002
3,2026-06-02T13:25:00.000,99755.51,0.24,T0003
4,2026-06-03T09:30:00.000,99521.07,0.48,T0004
5,2026-06-03T15:10:00.000,99368.28,0.63,T0005
6,2026-06-04T14:00:00.000,100430.61,0,T0006
7,2026-06-08T09:55:00.000,99769.26,0.66,T0007
8,2026-06-09T10:10:00.000,98749.58,1.67,T0008
9,2026-06-09T14:30:00.000,99806.99,0.62,T0009
10,2026-06-11T10:10:00.000,99426.32,1,T0010
11,2026-06-11T12:50:00.000,98772.9,1.65,T0011
12,2026-06-11T13:40:00.000,99830.89,0.6,T0012
13,2026-06-12T14:10:00.000,99625.74,0.8,T0013
14,2026-06-12T15:30:00.000,99334.31,1.09,T0014
15,2026-06-15T11:45:00.000,100394.1,0.04,T0015
16,2026-06-17T10:30:00.000,100011.46,0.42,T0016
17,2026-06-17T12:45:00.000,99859.53,0.57,T0017
18,2026-06-18T11:40:00.000,99421.97,1,T0018
19,2026-06-18T14:15:00.000,99249.97,1.18,T0019
20,2026-06-22T10:30:00.000,98236,2.19,T0020
21,2026-06-22T14:50:00.000,98014.69,2.41,T0021
22,2026-06-23T13:50:00.000,97709.31,2.71,T0022
23,2026-06-24T09:40:00.000,97336.46,3.08,T0023
24,2026-06-25T09:40:00.000,96964.89,3.45,T0024
25,2026-06-25T10:15:00.000,96328.77,4.08,T0025
26,2026-06-25T12:30:00.000,95694.08,4.72,T0026
27,2026-06-25T14:45:00.000,95064.16,5.34,T0027
28,2026-06-26T10:40:00.000,94701.58,5.7,T0028
29,2026-06-29T09:35:00.000,94341.73,6.06,T0029
30,2026-07-01T13:00:00.000,94317.49,6.09,T0030
31,2026-07-02T10:40:00.000,93351.57,7.05,T0031
32,2026-07-02T15:05:00.000,92996.67,7.4,T0032
33,2026-07-06T09:30:00.000,93992.8,6.41,T0033
34,2026-07-07T09:30:00.000,93373.91,7.03,T0034
35,2026-07-07T14:45:00.000,93279.2,7.12,T0035
36,2026-07-09T09:30:00.000,94275.31,6.13,T0036
37,2026-07-09T15:50:00.000,94131.98,6.27,T0037
38,2026-07-10T10:30:00.000,93512.26,6.89,T0038
39,2026-07-10T11:40:00.000,93156.25,7.24,T0039
40,2026-07-14T10:15:00.000,92801.12,7.6,T0040
41,2026-07-14T15:15:00.000,92855.25,7.54,T0041
42,2026-07-14T15:35:00.000,92739.53,7.66,T0042
43,2026-07-14T15:55:00.000,92629.68,7.77,T0043
44,2026-07-15T09:45:00.000,92276.28,8.12,T0044
45,2026-07-15T11:10:00.000,92074.38,8.32,T0045
46,2026-07-15T15:30:00.000,91949.55,8.44,T0046
47,2026-07-16T09:30:00.000,91600.29,8.79,T0047
48,2026-07-16T12:00:00.000,91219.95,9.17,T0048
49,2026-07-17T12:00:00.000,90872.23,9.52,T0049
50,2026-07-20T09:50:00.000,90525.78,9.86,T0050
51,2026-07-20T12:55:00.000,90195.87,10.19,T0051
52,2026-07-21T12:20:00.000,91161.58,9.23,T0052
53,2026-07-22T09:30:00.000,90814.89,9.57,T0053
54,2026-07-22T10:20:00.000,90523.11,9.87,T0054
55,2026-07-22T13:30:00.000,90400.89,9.99,T0055
56,2026-07-23T12:50:00.000,90154.96,10.23,T0056
57,2026-07-23T13:30:00.000,89953.65,10.43,T0057
58,2026-07-24T09:55:00.000,89611.24,10.77,T0058
59,2026-07-27T09:55:00.000,89022.33,11.36,T0059
60,2026-07-27T14:30:00.000,88832.77,11.55,T0060
61,2026-07-28T09:40:00.000,88248.69,12.13,T0061
62,2026-07-28T12:50:00.000,89189.82,11.19,T0062
63,2026-07-28T15:55:00.000,88947.58,11.43,T0063
64,2026-07-29T14:00:00.000,89901.15,10.48,T0064
65,2026-07-30T10:45:00.000,89559.05,10.82,T0065
66,2026-07-30T14:20:00.000,90517.35,9.87,T0066
67,2026-07-31T11:25:00.000,89919.85,10.47,T0067
68,2026-07-31T13:15:00.000,90881.41,9.51,T0068
69,2026-08-05T14:35:00.000,90729.13,9.66,T0069
70,2026-08-05T15:35:00.000,90602.12,9.79,T0070
71,2026-08-06T10:25:00.000,90336.47,10.05,T0071
72,2026-08-06T15:35:00.000,90120.06,10.27,T0072
73,2026-08-07T10:10:00.000,89529.13,10.85,T0073
74,2026-08-10T11:35:00.000,89373.73,11.01,T0074
75,2026-08-10T11:45:00.000,89297.84,11.09,T0075
76,2026-08-10T12:25:00.000,89119.45,11.26,T0076
77,2026-08-10T15:50:00.000,88941.11,11.44,T0077
78,2026-08-11T11:10:00.000,88767.36,11.61,T0078
79,2026-08-11T15:45:00.000,88612.88,11.77,T0079
80,2026-08-12T10:30:00.000,88275.24,12.1,T0080
81,2026-08-12T15:30:00.000,88295.11,12.08,T0081
82,2026-08-13T10:20:00.000,89240.32,11.14,T0082
83,2026-08-14T10:25:00.000,89216.2,11.17,T0083
84,2026-08-17T09:30:00.000,89060.56,11.32,T0084
85,2026-08-18T13:20:00.000,88929.24,11.45,T0085
86,2026-08-19T09:50:00.000,88591.07,11.79,T0086
87,2026-08-19T15:35:00.000,88410.09,11.97,T0087
88,2026-08-21T13:25:00.000,88372.62,12.01,T0088
89,2026-08-24T09:30:00.000,88036.21,12.34,T0089
90,2026-08-24T13:20:00.000,87724.66,12.65,T0090
