tradeId,symbol,side,entryTime,exitTime,initialEntryPrice,scale1Price,scale2Price,avgEntryPrice,exitPrice,initialQty,scale1Qty,scale2Qty,finalQty,stopPrice,targetPrice,exitReason,grossPnl,commission,slippage,netPnl,equityAfter,mfePct,maePct
T0001,SPY,long,2026-05-29T15:40:00.000,2026-06-01T09:30:00.000,757.54,,,757.54,755.72,210,0,0,210,755.79,760.79,stop,-349.95,0,31.78,-381.72,99618.28,0.01,0.38
T0002,SPY,long,2026-06-01T11:35:00.000,2026-06-01T15:45:00.000,757.13,757.96,758.79,757.75,758.58,209,104,104,417,755.38,760.38,trend_reversal,411.54,0,63.23,348.31,99966.59,0.33,0.17
T0003,SPY,long,2026-06-02T10:50:00.000,2026-06-02T13:25:00.000,759.35,760.18,,759.62,758.95,209,104,0,313,757.6,762.61,trend_reversal,-163.54,0,47.53,-211.08,99755.51,0.1,0.09
T0004,SPY,long,2026-06-02T15:15:00.000,2026-06-03T09:30:00.000,759.32,,,759.32,758.19,209,0,0,209,757.57,762.58,trend_reversal,-202.72,0,31.72,-234.44,99521.07,0.05,0.17
T0005,SPY,long,2026-06-03T13:55:00.000,2026-06-03T15:10:00.000,755.7,,,755.7,754.96,209,0,0,209,753.96,758.94,trend_reversal,-121.22,0,31.57,-152.8,99368.28,0.05,0.13
T0006,SPY,long,2026-06-04T11:05:00.000,2026-06-04T14:00:00.000,754.59,755.42,756.25,755.21,757.75,209,104,104,417,752.85,757.83,target,1125.43,0,63.09,1062.34,100430.61,0.35,0.02
T0007,SPY,long,2026-06-08T09:45:00.000,2026-06-08T09:55:00.000,742.8,743.62,,743.08,741.02,215,107,0,322,741.1,746,stop,-613.57,0,47.79,-661.36,99769.26,0.12,0.31
T0008,SPY,long,2026-06-09T09:40:00.000,2026-06-09T10:10:00.000,744.5,745.32,746.14,745.12,742.72,213,106,106,425,742.79,747.71,stop,-956.44,0,63.23,-1019.68,98749.58,0.29,0.49
T0009,SPY,long,2026-06-09T13:40:00.000,2026-06-09T14:30:00.000,732.21,733.02,733.82,732.82,735.29,214,107,107,428,730.53,735.36,target,1120.25,0,62.83,1057.41,99806.99,0.46,0.25
T0010,SPY,long,2026-06-11T09:55:00.000,2026-06-11T10:10:00.000,731.08,,,731.08,729.33,217,0,0,217,729.4,734.23,stop,-348.98,0,31.69,-380.68,99426.32,0.07,0.45
T0011,SPY,long,2026-06-11T12:10:00.000,2026-06-11T12:50:00.000,729.05,729.85,,729.32,727.3,216,108,0,324,727.38,732.19,stop,-606.22,0,47.19,-653.41,98772.9,0.15,0.31
T0012,SPY,long,2026-06-11T13:30:00.000,2026-06-11T13:40:00.000,732.61,733.42,734.22,733.22,735.69,214,107,107,428,730.93,735.76,target,1120.86,0,62.87,1057.99,99830.89,0.46,0.05
T0013,SPY,long,2026-06-12T12:25:00.000,2026-06-12T14:10:00.000,740.82,741.64,742.45,741.44,740.96,214,107,107,428,739.12,744.01,trend_reversal,-141.71,0,63.45,-205.15,99625.74,0.26,0.12
T0014,SPY,long,2026-06-12T14:40:00.000,2026-06-12T15:30:00.000,741.82,,,741.82,740.46,213,0,0,213,740.12,745.01,trend_reversal,-259.85,0,31.57,-291.43,99334.31,0.07,0.18
T0015,SPY,long,2026-06-15T09:35:00.000,2026-06-15T11:45:00.000,752.78,753.6,754.43,753.39,755.94,209,104,104,417,751.04,756.01,target,1122.73,0,62.94,1059.79,100394.1,0.35,0.06
T0016,SPY,long,2026-06-17T10:25:00.000,2026-06-17T10:30:00.000,752.19,,,752.19,750.38,212,0,0,212,750.46,755.42,stop,-350.78,0,31.85,-382.64,100011.46,0,0.24
T0017,SPY,long,2026-06-17T12:00:00.000,2026-06-17T12:45:00.000,750.7,,,750.7,749.97,211,0,0,211,748.97,753.92,trend_reversal,-120.27,0,31.66,-151.94,99859.53,0.04,0.1
T0018,SPY,long,2026-06-18T10:10:00.000,2026-06-18T11:40:00.000,745.86,746.69,,746.14,744.77,213,106,0,319,744.15,749.07,trend_reversal,-389.99,0,47.56,-437.55,99421.97,0.16,0.24
T0019,SPY,long,2026-06-18T12:00:00.000,2026-06-18T14:15:00.000,746.33,747.16,747.98,746.95,746.54,211,105,105,421,744.62,749.54,trend_reversal,-109.13,0,62.88,-172.01,99249.97,0.2,0.08
