tradeIndex,time,equity,drawdownPct,tradeId
1,2026-06-01T11:30:00.000,99684.74,0.32,T0001
2,2026-06-02T10:45:00.000,99115.05,0.88,T0002
3,2026-06-02T15:10:00.000,99038.34,0.96,T0003
4,2026-06-03T09:45:00.000,100096.02,0,T0004
5,2026-06-04T09:30:00.000,101166.44,0,T0005
6,2026-06-05T09:55:00.000,102246.71,0,T0006
7,2026-06-08T15:20:00.000,103342.08,0,T0007
8,2026-06-09T10:45:00.000,104445.66,0,T0008
9,2026-06-10T11:15:00.000,105563.82,0,T0009
10,2026-06-11T11:40:00.000,104484.75,1.02,T0010
11,2026-06-11T13:25:00.000,103797.25,1.67,T0011
12,2026-06-12T12:10:00.000,103401.74,2.05,T0012
13,2026-06-12T14:35:00.000,103213.16,2.23,T0013
14,2026-06-15T09:30:00.000,102820.35,2.6,T0014
15,2026-06-16T13:35:00.000,103921.02,1.56,T0015
16,2026-06-17T11:55:00.000,103331.95,2.11,T0016
17,2026-06-17T14:00:00.000,104438.92,1.07,T0017
18,2026-06-18T11:55:00.000,104040.25,1.44,T0018
19,2026-06-18T15:40:00.000,103673.43,1.79,T0019
20,2026-06-22T14:10:00.000,103553.13,1.9,T0020
21,2026-06-23T09:30:00.000,104661.36,0.85,T0021
22,2026-06-24T09:35:00.000,104193.8,1.3,T0022
23,2026-06-24T13:20:00.000,105310.7,0.24,T0023
24,2026-06-25T10:00:00.000,104909.55,0.62,T0024
25,2026-06-25T12:05:00.000,104624.21,0.89,T0025
26,2026-06-25T14:15:00.000,103555.16,1.9,T0026
27,2026-06-26T09:30:00.000,104663.77,0.85,T0027
28,2026-06-26T15:55:00.000,105783.45,0,T0028
29,2026-07-01T09:50:00.000,105380.61,0.38,T0029
30,2026-07-02T09:35:00.000,104300.56,1.4,T0030
31,2026-07-02T12:00:00.000,105420.54,0.34,T0031
32,2026-07-02T15:35:00.000,105147.41,0.6,T0032
33,2026-07-06T14:10:00.000,104907.67,0.83,T0033
34,2026-07-07T10:25:00.000,106030.91,0,T0034
35,2026-07-08T09:30:00.000,107165.46,0,T0035
36,2026-07-09T15:40:00.000,106998.58,0.16,T0036
37,2026-07-09T15:55:00.000,106783.82,0.36,T0037
38,2026-07-10T11:15:00.000,106376.34,0.74,T0038
39,2026-07-13T12:30:00.000,107515.38,0,T0039
40,2026-07-14T12:50:00.000,107223.45,0.27,T0040
41,2026-07-14T15:20:00.000,107120.52,0.37,T0041
42,2026-07-14T15:40:00.000,107011.95,0.47,T0042
43,2026-07-15T09:30:00.000,106764.24,0.7,T0043
44,2026-07-15T11:05:00.000,106544.71,0.9,T0044
45,2026-07-15T13:25:00.000,106344.7,1.09,T0045
46,2026-07-15T15:40:00.000,106128.38,1.29,T0046
47,2026-07-16T10:15:00.000,105429.09,1.94,T0047
48,2026-07-16T15:15:00.000,106557.26,0.89,T0048
49,2026-07-17T15:25:00.000,107697.93,0,T0049
50,2026-07-20T11:20:00.000,107162.48,0.5,T0050
51,2026-07-20T15:10:00.000,108309.22,0,T0051
52,2026-07-21T15:40:00.000,108203.48,0.1,T0052
53,2026-07-22T10:00:00.000,107790.93,0.48,T0053
54,2026-07-22T11:10:00.000,107218.82,1.01,T0054
55,2026-07-23T09:30:00.000,108364.56,0,T0055
56,2026-07-23T13:20:00.000,108094.82,0.25,T0056
57,2026-07-24T09:30:00.000,107175.34,1.1,T0057
58,2026-07-24T14:35:00.000,108326.19,0.04,T0058
59,2026-07-27T10:55:00.000,107613.88,0.69,T0059
60,2026-07-27T14:50:00.000,107203.55,1.07,T0060
61,2026-07-28T10:45:00.000,106498.22,1.72,T0061
62,2026-07-28T15:00:00.000,106197.66,2,T0062
63,2026-07-29T09:55:00.000,107336.65,0.95,T0063
64,2026-07-29T15:35:00.000,108488.17,0,T0064
65,2026-07-30T11:40:00.000,108075.43,0.38,T0065
66,2026-07-31T10:30:00.000,107363.73,1.04,T0066
67,2026-07-31T11:35:00.000,107027.17,1.35,T0067
68,2026-08-05T12:05:00.000,108175.94,0.29,T0068
69,2026-08-05T15:15:00.000,108063.47,0.39,T0069
70,2026-08-06T10:15:00.000,107532.63,0.88,T0070
71,2026-08-06T14:05:00.000,107888.06,0.55,T0071
72,2026-08-07T09:30:00.000,107476.71,0.93,T0072
73,2026-08-07T15:10:00.000,107014.41,1.36,T0073
74,2026-08-10T11:40:00.000,106865.98,1.5,T0074
75,2026-08-10T11:50:00.000,106690.83,1.66,T0075
76,2026-08-10T14:55:00.000,106423.75,1.9,T0076
77,2026-08-11T09:30:00.000,106017.74,2.28,T0077
78,2026-08-11T14:25:00.000,107154.88,1.23,T0078
79,2026-08-12T09:30:00.000,106746.23,1.61,T0079
80,2026-08-12T12:05:00.000,106562.66,1.77,T0080
81,2026-08-13T09:30:00.000,105861.54,2.42,T0081
82,2026-08-13T12:50:00.000,105621.7,2.64,T0082
83,2026-08-14T14:40:00.000,105791.63,2.49,T0083
84,2026-08-18T09:30:00.000,106925.76,1.44,T0084
85,2026-08-19T09:30:00.000,106222.45,2.09,T0085
86,2026-08-19T15:15:00.000,106135.35,2.17,T0086
87,2026-08-20T10:15:00.000,107270.59,1.12,T0087
88,2026-08-21T15:00:00.000,107189.9,1.2,T0088
89,2026-08-24T11:40:00.000,106797.44,1.56,T0089
90,2026-08-24T14:20:00.000,106531.53,1.8,T0090
