tradeId,symbol,side,entryTime,exitTime,initialEntryPrice,scale1Price,scale2Price,avgEntryPrice,exitPrice,initialQty,scale1Qty,scale2Qty,finalQty,stopPrice,targetPrice,exitReason,grossPnl,commission,slippage,netPnl,equityAfter,mfePct,maePct
T0001,SPY,short,2026-06-01T09:35:00.000,2026-06-01T11:30:00.000,755.61,,,755.61,757.12,210,0,0,210,757.35,752.36,trend_reversal,-283.49,0,31.77,-315.26,99684.74,0.04,0.22
T0002,SPY,short,2026-06-01T15:50:00.000,2026-06-02T10:45:00.000,758.59,757.76,756.93,757.97,759.34,209,104,104,417,760.34,755.33,trend_reversal,-506.42,0,63.27,-569.69,99115.05,0.23,0.18
T0003,SPY,short,2026-06-02T13:30:00.000,2026-06-02T15:10:00.000,758.94,,,758.94,759.31,207,0,0,207,760.68,755.67,trend_reversal,-45.28,0,31.43,-76.71,99038.34,0.04,0.07
T0004,SPY,short,2026-06-03T09:35:00.000,2026-06-03T09:45:00.000,758.16,757.33,756.5,757.54,754.98,207,103,103,413,759.91,754.9,target,1120.15,0,62.47,1057.68,100096.02,0.36,0.01
T0005,SPY,short,2026-06-03T15:15:00.000,2026-06-04T09:30:00.000,754.95,754.12,753.29,754.33,751.78,210,105,105,420,756.69,751.7,target,1133.67,0,63.26,1070.41,101166.44,0.42,0.07
T0006,SPY,short,2026-06-05T09:35:00.000,2026-06-05T09:55:00.000,752.5,751.68,750.85,751.89,749.34,213,106,106,425,754.24,749.27,target,1144.07,0,63.8,1080.27,102246.71,0.43,0.01
T0007,SPY,short,2026-06-08T12:30:00.000,2026-06-08T15:20:00.000,742.09,741.27,740.45,741.47,738.97,219,109,109,437,743.79,738.89,target,1160.07,0,64.7,1095.37,103342.08,0.41,0.13
T0008,SPY,short,2026-06-09T10:40:00.000,2026-06-09T10:45:00.000,740.87,740.05,739.24,740.26,737.75,221,110,110,441,742.57,737.68,target,1168.76,0,65.18,1103.58,104445.66,0.71,0.05
T0009,SPY,short,2026-06-10T11:00:00.000,2026-06-10T11:15:00.000,732.8,731.99,731.18,732.19,729.72,226,113,113,452,734.48,729.65,target,1184.24,0,66.08,1118.17,105563.82,0.37,0.22
T0010,SPY,short,2026-06-11T10:55:00.000,2026-06-11T11:40:00.000,727.28,726.48,725.68,726.68,729.03,230,115,115,460,728.95,724.15,stop,-1012.11,0,66.96,-1079.08,104484.75,0.31,0.38
