tradeIndex,time,equity,drawdownPct,tradeId
1,2026-06-01T09:30:00.000,99618.28,0.38,T0001
2,2026-06-01T11:30:00.000,99304.51,0.7,T0002
3,2026-06-01T15:45:00.000,99607.86,0.39,T0003
4,2026-06-02T10:45:00.000,99453.57,0.55,T0004
5,2026-06-02T13:25:00.000,99371.03,0.63,T0005
6,2026-06-02T15:10:00.000,99293.95,0.71,T0006
7,2026-06-03T09:30:00.000,99060.63,0.94,T0007
8,2026-06-03T09:45:00.000,99719.91,0.28,T0008
9,2026-06-03T15:10:00.000,99567.12,0.43,T0009
10,2026-06-04T09:30:00.000,100229.95,0,T0010
11,2026-06-04T14:00:00.000,100898.52,0,T0011
12,2026-06-05T09:55:00.000,101571.85,0,T0012
13,2026-06-08T09:55:00.000,101185.07,0.38,T0013
14,2026-06-08T15:20:00.000,101858.43,0,T0014
15,2026-06-09T10:10:00.000,101470.77,0.38,T0015
16,2026-06-09T10:45:00.000,102146.13,0,T0016
17,2026-06-09T14:30:00.000,102825.63,0,T0017
18,2026-06-10T11:15:00.000,103512.11,0,T0018
19,2026-06-11T10:10:00.000,103117.4,0.38,T0019
20,2026-06-11T11:40:00.000,102724.59,0.76,T0020
21,2026-06-11T12:50:00.000,102332.73,1.14,T0021
22,2026-06-11T13:25:00.000,101942.11,1.52,T0022
23,2026-06-11T13:40:00.000,102621.98,0.86,T0023
24,2026-06-12T12:10:00.000,102231.79,1.24,T0024
25,2026-06-12T14:10:00.000,102260.66,1.21,T0025
26,2026-06-12T14:35:00.000,102073.79,1.39,T0026
27,2026-06-12T15:30:00.000,101775.52,1.68,T0027
28,2026-06-15T09:30:00.000,101388.04,2.05,T0028
29,2026-06-15T11:45:00.000,102064.5,1.4,T0029
30,2026-06-16T13:35:00.000,102746.16,0.74,T0030
31,2026-06-17T10:30:00.000,102354.49,1.12,T0031
32,2026-06-17T11:55:00.000,102198.24,1.27,T0032
33,2026-06-17T12:45:00.000,102042.7,1.42,T0033
34,2026-06-17T14:00:00.000,102723.19,0.76,T0034
35,2026-06-18T11:40:00.000,102482.51,0.99,T0035
36,2026-06-18T11:55:00.000,102092.77,1.37,T0036
37,2026-06-18T14:15:00.000,102137.41,1.33,T0037
38,2026-06-18T15:40:00.000,101956.14,1.5,T0038
39,2026-06-22T10:30:00.000,101566.99,1.88,T0039
40,2026-06-22T14:10:00.000,101640.59,1.81,T0040
41,2026-06-22T14:50:00.000,101410.81,2.03,T0041
42,2026-06-23T09:30:00.000,102085.9,1.38,T0042
43,2026-06-23T13:50:00.000,101767.48,1.69,T0043
44,2026-06-24T09:35:00.000,101673.92,1.78,T0044
45,2026-06-24T09:40:00.000,101286.94,2.15,T0045
46,2026-06-24T13:20:00.000,101961.38,1.5,T0046
47,2026-06-25T09:40:00.000,101572.11,1.87,T0047
48,2026-06-25T10:00:00.000,101184.97,2.25,T0048
49,2026-06-25T10:15:00.000,100798.73,2.62,T0049
50,2026-06-25T12:05:00.000,100524.7,2.89,T0050
51,2026-06-25T12:30:00.000,100141.78,3.26,T0051
52,2026-06-25T14:15:00.000,99759.82,3.62,T0052
53,2026-06-25T14:45:00.000,99380.68,3.99,T0053
54,2026-06-26T09:30:00.000,100042.73,3.35,T0054
55,2026-06-26T10:40:00.000,99660.79,3.72,T0055
56,2026-06-26T15:55:00.000,100326.62,3.08,T0056
57,2026-06-29T09:35:00.000,99943.73,3.45,T0057
58,2026-07-01T09:50:00.000,99562.28,3.82,T0058
59,2026-07-01T13:00:00.000,99680.06,3.7,T0059
60,2026-07-02T09:35:00.000,99299.69,4.07,T0060
61,2026-07-02T10:40:00.000,98922.33,4.43,T0061
62,2026-07-02T12:00:00.000,99581.5,3.8,T0062
63,2026-07-02T15:05:00.000,99201.63,4.16,T0063
64,2026-07-02T15:35:00.000,98945.43,4.41,T0064
65,2026-07-06T09:30:00.000,99603.9,3.78,T0065
66,2026-07-06T14:10:00.000,99377.06,3.99,T0066
67,2026-07-07T09:30:00.000,98998.57,4.36,T0067
