tradeId,symbol,side,entryTime,exitTime,initialEntryPrice,scale1Price,scale2Price,avgEntryPrice,exitPrice,initialQty,scale1Qty,scale2Qty,finalQty,stopPrice,targetPrice,exitReason,grossPnl,commission,slippage,netPnl,equityAfter,mfePct,maePct
T0001,SPY,long,2026-05-29T15:40:00.000,2026-06-01T09:30:00.000,757.54,,,757.54,755.72,210,0,0,210,755.79,760.79,stop,-349.95,0,31.78,-381.72,99618.28,0.01,0.38
T0002,SPY,short,2026-06-01T09:35:00.000,2026-06-01T11:30:00.000,755.61,,,755.61,757.12,209,0,0,209,757.35,752.36,trend_reversal,-282.14,0,31.62,-313.76,99304.51,0.04,0.22
T0003,SPY,long,2026-06-01T11:35:00.000,2026-06-01T15:45:00.000,757.13,,,757.13,758.58,208,0,0,208,755.38,760.38,trend_reversal,334.88,0,31.53,303.35,99607.86,0.42,0.17
T0004,SPY,short,2026-06-01T15:50:00.000,2026-06-02T10:45:00.000,758.59,,,758.59,759.34,208,0,0,208,760.34,755.33,trend_reversal,-122.73,0,31.57,-154.3,99453.57,0.24,0.09
T0005,SPY,long,2026-06-02T10:50:00.000,2026-06-02T13:25:00.000,759.35,,,759.35,758.95,208,0,0,208,757.6,762.61,trend_reversal,-50.96,0,31.58,-82.54,99371.03,0.14,0.06
T0006,SPY,short,2026-06-02T13:30:00.000,2026-06-02T15:10:00.000,758.94,,,758.94,759.31,208,0,0,208,760.68,755.67,trend_reversal,-45.5,0,31.58,-77.08,99293.95,0.04,0.07
T0007,SPY,long,2026-06-02T15:15:00.000,2026-06-03T09:30:00.000,759.32,,,759.32,758.19,208,0,0,208,757.57,762.58,trend_reversal,-201.75,0,31.56,-233.32,99060.63,0.05,0.17
T0008,SPY,short,2026-06-03T09:35:00.000,2026-06-03T09:45:00.000,758.16,,,758.16,754.98,207,0,0,207,759.91,754.9,target,690.6,0,31.32,659.28,99719.91,0.44,0.01
T0009,SPY,long,2026-06-03T13:55:00.000,2026-06-03T15:10:00.000,755.7,,,755.7,754.96,209,0,0,209,753.96,758.94,trend_reversal,-121.22,0,31.57,-152.8,99567.12,0.05,0.13
T0010,SPY,short,2026-06-03T15:15:00.000,2026-06-04T09:30:00.000,754.95,,,754.95,751.78,209,0,0,209,756.69,751.7,target,694.32,0,31.49,662.83,100229.95,0.46,0.07
T0011,SPY,long,2026-06-04T11:05:00.000,2026-06-04T14:00:00.000,754.59,,,754.59,757.75,211,0,0,211,752.85,757.83,target,700.49,0,31.91,668.58,100898.52,0.43,0.02
T0012,SPY,short,2026-06-05T09:35:00.000,2026-06-05T09:55:00.000,752.5,,,752.5,749.34,213,0,0,213,754.24,749.27,target,705.32,0,31.99,673.33,101571.85,0.51,0.01
T0013,SPY,long,2026-06-08T09:45:00.000,2026-06-08T09:55:00.000,742.8,,,742.8,741.02,217,0,0,217,741.1,746,stop,-354.58,0,32.2,-386.78,101185.07,0.12,0.27
T0014,SPY,short,2026-06-08T12:30:00.000,2026-06-08T15:20:00.000,742.09,,,742.09,738.97,216,0,0,216,743.79,738.89,target,705.35,0,31.99,673.36,101858.43,0.5,0.12
T0015,SPY,long,2026-06-09T09:40:00.000,2026-06-09T10:10:00.000,744.5,,,744.5,742.72,217,0,0,217,742.79,747.71,stop,-355.39,0,32.27,-387.66,101470.77,0.32,0.41
T0016,SPY,short,2026-06-09T10:40:00.000,2026-06-09T10:45:00.000,740.87,,,740.87,737.75,217,0,0,217,742.57,737.68,target,707.45,0,32.09,675.36,102146.13,0.79,0.05
